id,neighborhood,parksperUnder18,childobesity,childasthma,airpollution,pedestrianinjury,rentburden
101,Financial District,540.9:1,5,28,9.6,10,38
102,Greenwich Village and Soho,244.8:1,5,38,9.5,9,38
103,Lower East Side and Chinatown,216.1:1,16,297,8.9,20,48
104,Clinton and Chelsea,551.2:1,14,169,9.8,15,41
105,Midtown,553.3:1,9,98,11.3,18,41
106,Stuyvesant Town and Turtle Bay,731:1,7,93,10.2,20,42
107,Upper West Side,1224.1:1,10,125,8.5,16,40
108,Upper East Side,2288.9:1,6,49,9.1,19,41
109,Morningside Heights and Hamilton Heights,805.7:1,25,333,8,21,51
110,Central Harlem,525.2:1,21,545,7.9,32,48
111,East Harlem,460.6:1,23,580,8.2,29,48
112,Washington Heights and Inwood,1287.3:1,24,226,7.8,17,53
201,Mott Haven and Melrose,625.8:1,24,647,8.6,43,58
202,Hunts Point and Longwood,471.9:1,26,432,8.5,36,58
203,Morrisania and Crotona,571.5:1,24,442,7.8,34,60
204,Highbridge and Concourse,873:1,23,420,8.3,27,61
205,Fordham and University Heights,952.5:1,24,405,8.3,28,65
206,Belmont and East Tremont,517.4:1,24,464,8,34,60
207,Kingsbridge Heights and Bedford,1702.5:1,25,451,7.8,26,61
208,Riverdale and Fieldston,762.2:1,21,218,7.5,17,52
209,Parkchester and Soundview,1135.3:1,25,349,7.6,26,55
210,Throgs Neck and Co-op City,1415.9:1,23,240,7.5,17,45
211,Morris Park and Bronxdale,1833.9:1,23,325,7.4,18,55
212,Williamsbridge and Baychester,3126.8:1,24,369,7.5,23,57
301,Greenpoint and Williamsburg,592.6:1,23,136,9.6,17,48
302,Fort Greene and Brooklyn Heights,333.9:1,14,249,8.8,11,39
303,Bedford Stuyvesant,507.7:1,22,375,8.1,25,53
304,Bushwick,969.7:1,28,290,8.1,22,55
305,East New York and Starrett City,658.4:1,25,315,7.7,26,52
306,Park Slope and Carroll Gardens,854.7:1,9,113,8.9,18,37
307,Sunset Park,968.9:1,18,104,8.5,23,57
308,Crown Heights and Prospect Heights,1353:1,19,342,8,27,50
309,South Crown Heights and Lefferts Gardens,1753.8:1,19,260,7.8,30,55
310,Bay Ridge and Dyker Heights,1074.7:1,16,52,7.4,15,49
311,Bensonhurst,3672.5:1,14,32,7,20,52
312,Borough Park,5436.1:1,17,31,7.5,25,64
313,Coney Island,735.8:1,18,147,6.7,22,55
314,Flatbush and Midwood,3397.3:1,21,113,7.5,26,57
315,Sheepshead Bay,1387:1,17,42,6.8,20,53
316,Brownsville,349.7:1,23,475,8,32,57
317,East Flatbush,2719.6:1,22,343,7.8,26,54
318,Flatlands and Canarsie,1308.8:1,21,154,7.1,20,50
401,Long Island City and Astoria,651.9:1,22,145,7.8,14,47
402,Woodside and Sunnyside,562.1:1,19,102,9.3,10,51
403,Jackson Heights,942:1,26,162,7.3,20,59
404,Elmhurst and Corona,1317.9:1,24,158,7.7,21,62
405,Ridgewood and Maspeth,953.2:1,19,115,8,16,46
406,Rego Park and Forest Hills,1209.9:1,11,53,7.5,13,50
407,Flushing and Whitestone,823:1,15,77,7.3,24,57
408,Hillcrest and Fresh Meadows,1204:1,18,118,7,23,54
409,Kew Gardens and Woodhaven,2347.5:1,22,133,7.3,25,55
410,South Ozone Park and Howard Beach,917.3:1,21,111,6.8,21,56
411,Bayside and Little Neck,873:1,11,38,6.9,10,46
412,Jamaica and Hollis,1165.3:1,23,202,7,26,56
413,Queens Village,1235.2:1,20,115,6.5,13,50
414,Rockaway and Broad Channel,606:1,23,168,6,17,53
501,St. George and Stapleton,574.5:1,21,157,7.1,47,51
502,South Beach and Willowbrook,754:1,19,62,6.9,32,52
503,Tottenville and Great Kills,674.7:1,17,40,6.6,19,42
,,,,,,,